% header=SampleName	SampleID	Type	Comments	AcqMethod	ProcMethod	RackCode	PlateCode	VialPos	SmplInjVol	DilutFact	WghtToVol	RackPos	PlatePos	SetName	OutputFile	_Instrument	_Lot	_Level	_PlateID	_QCNAME
NEG1	Neg QC	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	95	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-001	LC_13	NEG	NEG	Barcode05	NEG
Cal 1	Cal 1	Standard		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	23	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-002	LC_13	S1	S1	Barcode05	
Cal 2	Cal 2	Standard		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	35	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-003	LC_13	S2	S2	Barcode05	
Cal 3	Cal 3	Standard		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	47	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-004	LC_13	S3	S3	Barcode05	
Cal 4	Cal 4	Standard		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	59	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-005	LC_13	S4	S4	Barcode05	
Cal 5	Cal 5	Standard		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	71	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-006	LC_13	S5	S5	Barcode05	
Cal 6	Cal 6	Standard		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	83	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-007	LC_13	S6	S6	Barcode05	
Cutoff Cal	Cutoff Cal	Standard		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	72	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-008	LC_13	CUTOFF	CUTOFF	Barcode05	
Hydro QC	Hydro QC	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	60	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-009	LC_13	HYD	HYD	Barcode05	
QC L1	QC L1	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	12	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-010	LC_13	QC1	QC1	Barcode05	
QC L2	QC L2	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	24	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-011	LC_13	QC2	QC2	Barcode05	
QC L3	QC L3	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	36	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-012	LC_13	QC3	QC3	Barcode05	
QC L4	QC L4	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	48	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-013	LC_13	QC4	QC4	Barcode05	
Low QC	Low QC	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	84	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-014	LC_13	QLOW	QLOW	Barcode05	
High QC	High QC	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	96	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-015	LC_13	QHIGH	QHIGH	Barcode05	
WASH-1	WASH-1	QC		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	95	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-016	LC_13	NEG	NEG	Barcode05	NEG
Sample Barcode01	Sample Barcode01	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	1	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-017	LC_13			Barcode05	
Sample Barcode02	Sample Barcode02	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	13	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-018	LC_13			Barcode05	
Sample Barcode03	Sample Barcode03	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	25	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-019	LC_13			Barcode05	
Sample Barcode04	Sample Barcode04	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	37	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-020	LC_13			Barcode05	
Sample Barcode05	Sample Barcode05	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	49	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-021	LC_13			Barcode05	
Sample Barcode06	Sample Barcode06	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	61	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-022	LC_13			Barcode05	
Sample Barcode07	Sample Barcode07	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	73	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-023	LC_13			Barcode05	
Sample Barcode08	Sample Barcode08	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	85	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-024	LC_13			Barcode05	
Sample Barcode09	Sample Barcode09	Unknown		TO6_Str1.dam	none	Deep Well MTP 96 Cooled	Deep Well MTP 96 Cooled	2	10	1	0	1	2	SET1	Barcode05_Combo_819_TO6_Str1_LC_13-025	LC_13			Barcode05	
