# Creatinine QC — two control levels, Level 2 with a single outlier
Date,Level1_Normal,Level2_High
2026-04-01,0.98,3.95
2026-04-02,1.01,4.02
2026-04-03,0.99,3.98
2026-04-04,1.02,4.05
2026-04-05,0.97,3.92
2026-04-06,1.00,4.68
2026-04-07,1.01,3.99
2026-04-08,0.99,4.03
2026-04-09,1.03,3.96
2026-04-10,0.98,4.01
2026-04-11,1.00,3.94
2026-04-12,1.02,4.06
2026-04-13,0.99,3.98
2026-04-14,1.01,4.02
2026-04-15,0.97,3.97
2026-04-16,1.00,4.04
2026-04-17,1.02,3.99
2026-04-18,0.98,4.00
2026-04-19,1.01,3.95
2026-04-20,0.99,4.03
