# Sodium (Na+) QC — two control levels, Level 2 drifting upward over the run
Date,Level1_Normal,Level2_High
2026-02-01,139.8,158.1
2026-02-02,140.2,158.4
2026-02-03,139.6,158.0
2026-02-04,140.5,158.6
2026-02-05,139.9,159.1
2026-02-06,140.1,159.6
2026-02-07,139.7,160.2
2026-02-08,140.3,160.8
2026-02-09,140.0,161.3
2026-02-10,139.5,161.9
2026-02-11,140.4,162.4
2026-02-12,139.8,163.0
2026-02-13,140.2,163.5
2026-02-14,139.9,164.1
2026-02-15,140.6,164.6
2026-02-16,139.7,165.2
2026-02-17,140.0,165.7
2026-02-18,139.4,166.3
2026-02-19,140.3,166.8
2026-02-20,139.9,167.4
