# Glucose QC — two control levels, stable in-control run
Date,Level1_Low,Level2_High
2026-01-01,68.2,262.4
2026-01-02,69.5,258.1
2026-01-03,70.1,264.7
2026-01-04,67.8,260.9
2026-01-05,71.2,257.3
2026-01-06,69.9,263.5
2026-01-07,68.6,259.8
2026-01-08,70.4,265.2
2026-01-09,69.1,261.0
2026-01-10,68.9,258.6
2026-01-11,70.7,264.1
2026-01-12,69.3,260.3
2026-01-13,68.4,262.8
2026-01-14,71.0,257.9
2026-01-15,69.6,263.9
2026-01-16,68.1,259.4
2026-01-17,70.2,261.7
2026-01-18,69.4,260.5
2026-01-19,68.8,264.4
2026-01-20,70.0,258.2
