# Hemoglobin QC — two control levels, Level 1 gradual downward drift
Date,Level1_Low,Level2_Normal
2026-05-01,12.10,15.02
2026-05-02,12.05,14.96
2026-05-03,11.98,15.08
2026-05-04,11.90,14.94
2026-05-05,11.85,15.05
2026-05-06,11.78,14.99
2026-05-07,11.70,15.03
2026-05-08,11.62,14.97
2026-05-09,11.55,15.06
2026-05-10,11.48,14.95
2026-05-11,11.40,15.01
2026-05-12,11.32,14.98
2026-05-13,11.25,15.04
2026-05-14,11.15,14.96
2026-05-15,11.05,15.02
2026-05-16,10.95,14.99
2026-05-17,10.85,15.05
2026-05-18,10.72,14.97
2026-05-19,10.60,15.03
2026-05-20,10.45,15.00
