# Total Cholesterol QC — two control levels, Level 1 with a single outlier
Date,Level1_Normal,Level2_High
2026-03-01,188.4,264.2
2026-03-02,189.7,262.8
2026-03-03,187.9,265.6
2026-03-04,190.2,263.1
2026-03-05,188.8,261.9
2026-03-06,210.5,264.8
2026-03-07,189.3,262.4
2026-03-08,188.1,265.9
2026-03-09,190.6,263.7
2026-03-10,189.0,261.5
2026-03-11,187.6,264.3
2026-03-12,190.9,262.9
2026-03-13,188.5,265.1
2026-03-14,189.8,263.4
2026-03-15,188.2,262.0
2026-03-16,190.3,264.6
2026-03-17,189.1,263.2
2026-03-18,187.8,261.7
2026-03-19,190.0,264.9
2026-03-20,188.7,262.6
